Performance,Policy,Controversies,Diversity inclusion rating,TR ESG Scores,ESG Analytics
TR.AnalyticExecutivesCulturalDiversity,TR.BiodiversityImpactReduction,TR.ControvRespMarketing,,,
TR.AnalyticExperiencedBoard,TR.BlankCheck,TR.ControvResponsibleRD,,,
TR.AnalyticHazardousWaste,TR.BoardExternalConsultants,TR.ControvShareholders,,,
TR.AnalyticHighestRemuneration,TR.BoardSuccessionPlan,TR.ControvTaxFraud,,,
TR.AnalyticIndepBoard,TR.BottomPyramidPricing,TR.ControvWorkingCondition,,,
TR.AnalyticInjuries,TR.CallMeetingsLimitedRights,TR.RecentControvAccounting,,,
TR.AnalyticLayoffs,TR.CEOCompTSR,TR.RecentControvAntiCompetition,,,
TR.AnalyticLostDays,TR.ChiefDiversityOfficer,TR.RecentControvBusinessEthics,,,
TR.AnalyticNomCommInvolvment,TR.CleanEnergyProducts,TR.RecentControvChildLabor,,,
TR.AnalyticNominationCommInd,TR.ClimateChangeRisksOpp,TR.RecentControvConsumer,,,
TR.AnalyticNominationCommMgtInd,TR.ClusterBombs,TR.RecentControvCopyrights,,,
TR.AnalyticNonauditAuditFeesRatio,TR.CommunityWork,TR.RecentControvCriticalCountries,,,
TR.AnalyticNonExecBoard,TR.CompanyCrossShareholding,TR.RecentControvCustomerHS,,,
TR.AnalyticRenewEnergySupply,TR.CompComm,TR.RecentControvDiversity,,,
TR.AnalyticRenewEnergyUse,TR.ConfidentialVotingPolicy,TR.RecentControvEmployeesHS,,,
TR.AnalyticSalaryGap,TR.Contraceptives,TR.RecentControvEnv,,,
TR.AnalyticStrictlyIndepBoard,TR.CorporateGovernanceComm,TR.RecentControvHumanRights,,,
TR.AnalyticTotalDonations,TR.CorporateResponsibilityAwards,TR.RecentControvInsiderDealings,,,
TR.AnalyticTotalWaste,TR.CrisisMgtSystems,TR.RecentControvPrivacy,,,
TR.AnalyticTrainingCosts,TR.CSRReporting,TR.RecentControvProductAccess,,,
TR.AnalyticWasteRecyclingRatio,TR.CSRReportingExternalAudit,TR.RecentControvPublicHealth,,,
TR.AnalyticWaterUse,TR.CSRReportingGlobalActivities,TR.RecentControvRespMarketing,,,
TR.AnnouncedLayoffs,TR.CSRReportingGRI,TR.RecentControvResponsibleRD,,,
TR.ArmamentRevenues,TR.DayCareServices,TR.RecentControvShareholders,,,
TR.Armaments5PctRevenues,TR.DirectorLiabilityLimitation,TR.RecentControvTaxFraud,,,
TR.AuditCommNonExecMembers,TR.DirectorsElectionMajority,TR.RecentControvWorkingCondition,,,
TR.AuditorTenure,TR.DiseasesDevelopingWorld,,,,
TR.AvgTrainingHours,TR.EcoDesignProducts,,,,
TR.BBBEELevel,TR.EITI,,,,
TR.BoardMeetingAttendanceAvg,TR.EliminationCumVotingRights,,,,
TR.BoardMeetings,TR.EmbryonicStemCellResearch,,,,
TR.BoardMemberLTCompIncentives,TR.EmissionsTrading,,,,
TR.BoardMembershipLimits,TR.EmployeeHealthSafetyPolicy,,,,
TR.BoardSize,TR.EmployeesHealthSafetyTeam,,,,
TR.BoardStructureType,TR.EnvAUM,,,,
TR.BoardTermDuration,TR.EnvInvestments,,,,
TR.CarbonOffsetsCredits,TR.EnvMaterialsSourcing,,,,
TR.CementCO2Emission,TR.EnvMgtTeam,,,,
TR.CementEnergyUse,TR.EnvMgtTraining,,,,
TR.CEOBoardMember,TR.EnvPartnerships,,,,
TR.ChairmanExCEO,TR.EnvProducts,,,,
TR.ClassifiedBoard,TR.EnvProjectFinancing,,,,
TR.CO2DirectScope1,TR.EnvRestorationInitiatives,,,,
TR.CO2EmissionTotal,TR.EnvSupplyChainMgt,,,,
TR.CO2EstimationMethod,TR.EnvSupplyChainMonitoring,,,,
TR.CO2IndirectScope2,TR.EnvSupplyChainTermination,,,,
TR.CO2IndirectScope3,TR.EquatorPrinciples,,,,
TR.CommMeetingsAttendanceAvg,TR.ETI,,,,
TR.CompCommNonExecMembers,TR.eWasteReduction,,,,
TR.ContractorAccidents,TR.ExpandedConstituencyProvision,,,,
TR.ContractorFatalities,TR.FairPriceProvision,,,,
TR.ContractorLostworkingDays,TR.Firearms,,,,
TR.CriticalCountry1,TR.FlexibleWorkingHours,,,,
TR.CriticalCountry2,TR.FossilFuelDivestmentPolicy,,,,
TR.CriticalCountry3,TR.Gambling,,,,
TR.CriticalCountry4,TR.GlobalCompact,,,,
TR.CriticalCountry5,TR.GMOProducts,,,,
TR.CSRReportingExternalAuditName,TR.GoldenParachute,,,,
TR.CSRReportingScope,TR.GreenBuildings,,,,
TR.CustomerSatisfaction,TR.HealthSafetyTraining,,,,
TR.DifferentVotingRightShare,TR.HealthyProducts,,,,
TR.DonationsTotal,TR.HIVAIDSProgram,,,,
TR.EarningsRestatement,TR.HumanRightsContractor,,,,
TR.ElectricityProduced,TR.HumanRightsContractorBreaches,,,,
TR.ElectricityPurchased,TR.HybridVehicles,,,,
TR.EmissionReductionTargetPctage,TR.ILOFundamentalHumanRights,,,,
TR.EmissionReductionTargetYear,TR.ImprovementToolsBusinessEthics,,,,
TR.EmployeeAccidents,TR.ImprovementToolsExecComp,,,,
TR.EmployeeFatalities,TR.IntegratedStrategyMD&A,,,,
TR.EmployeeHSTrainingHours,TR.InternalAuditDepReporting,,,,
TR.EmployeeLostWorkingDays,TR.InternalCarbonPricing,,,,
TR.EmployeeResourceGroups,TR.InternalPromotion,,,,
TR.EmployeeSatisfaction,TR.ISO14000,,,,
TR.EmployeesCSRreporting,TR.ISO9000,,,,
TR.EmployeesWithDisabilities,TR.LabeledWood,,,,
TR.EMSCertifiedPct,TR.LandEnvImpactReduction,,,,
TR.EnergyProducedDirect,TR.LimitationRemovalDirectors,,,,
TR.EnergyPurchasedDirect,TR.MgtDepartures,,,,
TR.EnergyUseIndirect,TR.MgtTraining,,,,
TR.EnergyUseTotal,TR.MinimumSharesVote,,,,
TR.EnvExpenditures,TR.NoiseReduction,,,,
TR.EnvProvisions,TR.NominationComm,,,,
TR.EnvRD,TR.NOxSOxEmissionsReduction,,,,
TR.ESGPeriodLastUpdateDate,TR.Nuclear,,,,
TR.FDAWarningLetters,TR.ObesityRisk,,,,
TR.FlaringGases,TR.OECDGuidelinesMultiEnterprises,,,,
TR.FleetCO2Emissions,TR.OHSAS18001,,,,
TR.FleetFuelConsumption,TR.OrganicProductsInitiatives,,,,
TR.FreshWaterWithdrawalTotal,TR.PMReduction,,,,
TR.Gambling5PctRevenues,TR.PolicyBoardDiversity,,,,
TR.GamblingRevenues,TR.PolicyBoardExperience,,,,
TR.GenderPayGapPctage,TR.PolicyBoardInd,,,,
TR.HazardousWaste,TR.PolicyBoardSize,,,,
TR.HSMSCertifiedPercent,TR.PolicyBriberyandCorruption,,,,
TR.InternalCarbonPriceTonne,TR.PolicyBusinessEthics,,,,
TR.InvoluntaryTurnoverEmployees,TR.PolicyCareerDevelopment,,,,
TR.LabeledWoodPctage,TR.PolicyChildLabor,,,,
TR.LitigationExpenses,TR.PolicyCommunityInvolvement,,,,
TR.LobbyingContributionAmount,TR.PolicyCustomerHealthSafety,,,,
TR.LostWorkingDays,TR.PolicyDataPrivacy,,,,
TR.LTIRContractors,TR.PolicyDiversityOpportunity,,,,
TR.LTIREmployees,TR.PolicyEmissions,,,,
TR.LTIRTotal,TR.PolicyEnergyEfficiency,,,,
TR.MicrofinanceImpactInvestment,TR.PolicyEnvSupplyChain,,,,
TR.NewWomenEmployees,TR.PolicyEqualVotingRight,,,,
TR.NominationCommNonExecMembers,TR.PolicyExecCompESGPerformance,,,,
TR.NonHazardousWaste,TR.PolicyExecCompPerformance,,,,
TR.NotApprovedDrug,TR.PolicyExecRetention,,,,
TR.NOxEmissions,TR.PolicyFairCompetition,,,,
TR.Nuclear5PctRevenues,TR.PolicyFairTrade,,,,
TR.NuclearProduction,TR.PolicyForcedLabor,,,,
TR.OccupationalDiseases,TR.PolicyFreedomofAssociation,,,,
TR.OzoneDepletingSubstances,TR.PolicyHumanRights,,,,
TR.PoisonPill,TR.PolicyResponsibleMarketing,,,,
TR.PoisonPillAdoptionDate,TR.PolicyShareholderEngagement,,,,
TR.PoisonPillExpirationDate,TR.PolicySkillsTraining,,,,
TR.PoliticalContributions,TR.PolicySustainablePackaging,,,,
TR.ProductDelays,TR.PolicyWaterEfficiency,,,,
TR.ProductRecall,TR.Pornography,,,,
TR.ProfitWarnings,TR.PreemptiveRights,,,,
TR.QMSCertifiedPct,TR.ProductAccessLowPrice,,,,
TR.RecentFDAWarningLetters,TR.ProductEnvResponsibleUse,,,,
TR.RenewEnergyProduced,TR.ProductQualityMonitoring,,,,
TR.RenewEnergyPurchased,TR.PublicCorporateStatutes,,,,
TR.RevenueEnvProducts,TR.RealEstateSustainabilityCtfs,,,,
TR.SalariesCSRreporting,TR.RenewEnergyUse,,,,
TR.SelfReportedEnvFines,TR.RetailingResponsibility,,,,
TR.SeniorExecsTotalComp,TR.ShareholderApprovalStockCompPlan,,,,
TR.SOxEmissions,TR.ShareholderApprovalTransactions,,,,
TR.StaggeredBoard,TR.ShareholdersVoteExecPay,,,,
TR.TIRContractors,TR.SixSigmaQMS,,,,
TR.TIREmployees,TR.StaffTransportationReduction,,,,
TR.TIRTotal,TR.StakeholderEngagement,,,,
TR.Tobacco5PctRevenues,TR.StateOwnedEnterpriseSOE,,,,
TR.TobaccoRevenues,TR.Strikes,,,,
TR.TotalRenewableEnergy,TR.SupermajorityVote,,,,
TR.TradeUnionRep,TR.SupplierEsgTraining,,,,
TR.TrainingCostsTotal,TR.SupplyChainHSImprovements,,,,
TR.TrainingHoursTotal,TR.SupplyChainHSPolicy,,,,
TR.TurnoverEmployees,TR.SupplyChainHSTraining,,,,
TR.USLGBTEqualityIndex,TR.SustainabilityComm,,,,
TR.VOCEmissions,TR.SustainableBuildingProducts,,,,
TR.VoluntaryTurnoverEmployees,TR.TakebackRecyclingInitiatives,,,,
TR.VotingCapPctage,TR.TargetsDiversityOpportunity,,,,
TR.WasteRecycledTotal,TR.TargetsEmissions,,,,
TR.WasteRecyclingRatio,TR.TargetsEnergyEfficiency,,,,
TR.WasteTotal,TR.TargetsWaterEfficiency,,,,
TR.WaterDischarged,TR.Tobacco,,,,
TR.WaterPollutantEmissions,TR.ToxicChemicalsReduction,,,,
TR.WaterRecycled,TR.UNPRISignatory,,,,
TR.WaterWithdrawalTotal,TR.VetoPowerGoldenShare,,,,
TR.WomenEmployees,TR.VOCEmissionsReduction,,,,
TR.WomenManagers,TR.VotingCap,,,,
,TR.WasteReductionInitiatives,,,,
,TR.WaterTechnologies,,,,
,TR.WhistleblowerProtection,,,,
,TR.WrittenConsentRequirements,,,,
